stop_id,arrivals,stop_name,stop_desc,stop_lat,stop_lon,degree_centrality
1506163,26,Joaquim Nabuco B/C,"Av. Ver. José Diniz, 2306 Ref.: Rua Joaquim Nabuco",-23.625634,-46.682873,0.00014353380221042054
8210256,25,"Av. Celso Garcia, 5885",Ref.: Rua Retiro,-23.530547,-46.556447,0.00033491220515764796
6311047,25,"R. Card. Arcoverde, 2030",Ref.: R Deplacerda Franco,-23.562965,-46.690597,0.0002870676044208411
760012068,25,"Av. S. Miguel, 9485",Ref.: Tr Tereza Peltier/ R Dona Alzira Pedroso De Mello,-23.492032,-46.447598,0.0001913784029472274
5306679,25,Parada 2 - Mac/USP,"Av. Pedro Alvares Cabral, 1475 Ref.: Mac-USP (antigo Detran)",-23.587786,-46.652159,0.0002870676044208411
3407199,25,"Av. Brig. Faria Lima, 3064",Ref.: Rua Adolfo Tabacow,-23.583568,-46.683748,0.00023922300368403425
820012533,25,Parada 1/2/3 - Retiro,"Av. Celso Garcia, 5639 Ref.: R Júlio Tamer/ Tr Do Triunfo",-23.531265,-46.558639,0.00014353380221042054
300009890,25,"Av. Da. Belmira Marin, 1030",Ref.: Av Rosalia Iannini Conde/ R Saint Pierre,-23.739285,-46.691684,0.00023922300368403425
8101782,25,"Av. Interlagos, 5420",Ref.: Rua Ferrucio Dupré,-23.691916,-46.698421,9.56892014736137e-05
230009791,25,"Av. Interlagos, 5019",Ref.: R Angelo Bada/ R Pedra Talhada,-23.689778,-46.697681,9.56892014736137e-05
860012092,25,"Av. Mal. Tito, 3012",Ref.: Vel Um/ R Folha Dourada,-23.494007,-46.416954,0.0002870676044208411
860012091,25,"Av. Mal. Tito, 2724",Ref.: R Padre Diogo/ R Gendiroba,-23.49411,-46.41981,0.00014353380221042054
720011706,25,Parada Pe. José De Anchieta,"R. Dr. Antônio Bento, 231 Ref.: R Padre Jose De Anchieta",-23.648321,-46.704327,0.0004306014066312616
300009889,25,"Av. Da. Belmira Marin, 773",Ref.: R Benedetto Marcello/ R Puerto Suarez,-23.737367,-46.693067,0.00014353380221042054
160009790,25,"Av. Interlagos, 4440",Ref.: R Miguel Yunes/ R Rio Paraguacu,-23.6858,-46.693453,0.00014353380221042054
6311347,25,Diogo Moreira,"Av. Brig. Faria Lima, 1355",-23.569664,-46.69151,0.0004784460073680685
780006818,25,"Av. Sapopemba, 11180",Ref.: Av Arquiteto Vilanova Artigas/ R Leite Furtado,-23.614635,-46.501312,0.0007176690110521027
7206906,25,"Av. Adolfo Pinheiro, 96",Ref.: Parada Exclusiva - Linhas Com Destino Ao Corredor Ibirapuera E Rua Isabel Schmidt (ponto Provi,-23.651784,-46.705333,0.0003827568058944548
480012877,25,Marginal B/C,"Av. Ermano Marchetti, 1613 Ref.: Ac Ponte Do Piqueri Av Emb Macedo Soares/ R Professora Suraia Aidar",-23.511052,-46.705493,0.00023922300368403425
710000653,25,"Av. Cruzeiro Do Sul, 2762",Ref.: R Alfredo Guedes/ Av General Ataliba Leonel,-23.506563,-46.624676,0.00023922300368403425
230009793,25,"Av. Interlagos, 5937",Ref.: Av Antonio Barbosa Da Silva Sandoval/ R Joao Bertoni,-23.694566,-46.699387,0.00014353380221042054
7113134,24,"Av. Cruzeiro Do Sul, 2867",Ref.: R. Alfredo Guedes,-23.505862,-46.625063,0.00023922300368403425
4201951,24,"Estr. Do M Boi Mirim, 6034",Ref.: R Jose Alves Da Silva,-23.69613,-46.779691,0.0002870676044208411
720015658,24,Ana Catarina B/C,"Av. Ver. José Diniz, 1770 Ref.: R Ana Catharina Randi/ R Da Prata",-23.629325,-46.686365,9.56892014736137e-05
600012366,24,"Av. Amador Bueno Da Veiga, 785",Ref.: R Francisco Do Amaral/ R Mirandinha,-23.522361,-46.537278,0.00023922300368403425
8210206,24,R. Melo Freire,Ref.: Estação Do Metrô Carrão,-23.538135,-46.565031,0.0003827568058944548
160015527,24,"Av. Interlagos, 1464",Ref.: Tr Saveiros De Maroim/ Av Sargento Geraldo Santana,-23.666164,-46.677981,0.0002870676044208411
650005642,24,"Av. S. Miguel, 3324",Ref.: R Carvalhopolis/ R Arthur Friedenreich,-23.511378,-46.500186,0.00023922300368403425
